,film,budget,original_language,popularity,production_companies,release_date,runtime,revenue,genre,production_companies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Rocky,1000000,en,14.774066,"[{'name': 'United Artists', 'id': 60}]",11/21/1976,119,117235147,Drama,United Artists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Revenge of the Nerds II: Nerds in Paradise,0,en,10.54375,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Amercent Films', 'id': 5263}, {'name': 'American Entertainment Partners L.P.', 'id': 5264}, {'name': 'Interscope Communications', 'id': 10201}]",7/10/1987,98,22642033,Comedy,Twentieth Century Fox Film Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,American Beauty,15000000,en,20.726578,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Jinks/Cohen Company', 'id': 2721}]",9/15/1999,122,356296601,Drama,DreamWorks SKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Be Cool,53000000,en,13.314233,"[{'name': 'Double Feature Films', 'id': 215}, {'name': 'Jersey Films', 'id': 216}, {'name': 'Nina Saxon Film Design', 'id': 1693}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",3/4/2005,118,95226116,Comedy,Double Feature Films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Minority Report,102000000,en,20.666063,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Cruise/Wagner Productions', 'id': 44}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Blue Tulip Productions', 'id': 766}, {'name': 'Ronald Shusett/Gary Goldman', 'id': 26265}, {'name': 'Digital Image Associates', 'id': 76068}]",6/20/2002,145,358372926,Action,DreamWorks SKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Skinning,500000,sr,1.018477,"[{'name': 'Hypnopolis', 'id': 51316}]",10/6/2010,97,198,Action,Hypnopolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Red Eye,26000000,en,6.336927,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Craven-Maddalena Films', 'id': 1600}, {'name': 'BenderSpink', 'id': 6363}]",8/4/2005,85,57891803,Horror,DreamWorks SKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,The Invisible Woman,0,en,4.183558,"[{'name': 'BBC Films', 'id': 288}, {'name': 'Headline Pictures', 'id': 13151}, {'name': 'Magnolia Mae Films', 'id': 18188}, {'name': 'Taeoo Entertainment', 'id': 26783}]",12/25/2013,111,1234254,Drama,BBC Films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Chalet Girl,8000000,en,6.496259,"[{'name': 'UK Film Council', 'id': 2452}, {'name': 'Prescience', 'id': 6901}, {'name': 'Aegis Film Fund', 'id': 7309}, {'name': 'Kaleidoscope Films', 'id': 29305}]",2/2/2011,96,1749457,Comedy,UK Film Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Transporter 2,32000000,en,11.359659,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Current Entertainment', 'id': 972}, {'name': 'TF1 Films Production', 'id': 3823}, {'name': 'Canal+', 'id': 5358}, {'name': 'TPS Star', 'id': 6586}, {'name': 'EuropaCorp', 'id': 6896}, {'name': 'Sea Side Films Florida Inc.', 'id': 95342}]",8/2/2005,87,85167639,Action,Twentieth Century Fox Film Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Lost in Space,80000000,en,12.000579,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Irwin Allen Productions', 'id': 14024}, {'name': 'Prelude Pictures', 'id': 19902}, {'name': 'Saltire Entertainment', 'id': 30253}]",4/3/1998,130,136159423,Adventure,New Line Cinema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Friday the 13th Part III,4000000,en,7.99229,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Jason Productions', 'id': 7513}]",8/13/1982,95,36690067,Horror,Paramount Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,V/H/S,0,en,7.820787,"[{'name': 'The Collective', 'id': 15156}, {'name': 'Bloody Disgusting', 'id': 15157}, {'name': '8383 Productions', 'id': 15158}]",7/28/2012,116,100345,Thriller,The Collective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,InSight,0,en,1.323333,"[{'name': '\xa0Braeburn Entertainment', 'id': 8053}, {'name': '\xa0Check Entertainment', 'id': 8054}, {'name': 'G.C. Pix\xa0', 'id': 8055}]",9/2/2011,92,17011,Thriller,\xa0Braeburn Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Black Sheep,0,en,7.434577,"[{'name': 'New Zealand Film Commission', 'id': 294}, {'name': 'Live Stock Films', 'id': 1466}]",9/9/2006,87,4947717,Horror,New Zealand Film Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Dr. Giggles,0,en,1.252367,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Dark Horse Entertainment', 'id': 552}, {'name': 'Largo Entertainment', 'id': 1644}, {'name': 'JVC Entertainment Networks', 'id': 4248}]",10/23/1992,95,8403433,Comedy,Universal Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,The Spanish Prisoner,10000000,en,4.305735,"[{'name': 'Jean Doumanian Productions', 'id': 16280}, {'name': 'Sweetland Films', 'id': 21716}, {'name': 'Magnolia Films', 'id': 65514}, {'name': 'Jasmine Productions Inc.', 'id': 65515}]",9/8/1997,110,13835130,Crime,Jean Doumanian Productions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,What If,11000000,en,10.841891,"[{'name': 'Fastnet Films', 'id': 5353}, {'name': 'Caramel Film', 'id': 23108}, {'name': 'No Trace Camping', 'id': 35846}]",9/7/2013,93,7847000,Drama,Fastnet Films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,The Transformers: The Movie,6000000,en,6.759181,"[{'name': 'De Laurentiis Entertainment Group (DEG)', 'id': 484}, {'name': 'Marvel Productions', 'id': 2301}, {'name': 'Hasbro', 'id': 2598}, {'name': 'Sunbow Productions', 'id': 3313}]",8/8/1986,84,5849647,Animation,De Laurentiis Entertainment Group (DEG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Changing Lanes,45000000,en,7.81862,"[{'name': 'Paramount Pictures', 'id': 4}]",4/7/2002,89,94935764,Action,Paramount Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,The Intouchables,13000000,fr,16.086919,"[{'name': 'Gaumont', 'id': 9}, {'name': 'TF1 Films Production', 'id': 3823}, {'name': 'Canal+', 'id': 5358}, {'name': 'CinéCinéma', 'id': 6301}, {'name': 'Quad Productions', 'id': 7038}, {'name': 'Chaocorp', 'id': 7766}, {'name': 'Ten Films', 'id': 8018}, {'name': 'TF1', 'id': 22123}]",11/2/2011,112,426480871,Drama,Gaumont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Caché,0,fr,5.69586,"[{'name': 'Les Films du Losange', 'id': 223}, {'name': 'Wega Film', 'id': 224}, {'name': 'BIM Distribuzione', 'id': 225}, {'name': 'Centre National de la Cinématographie', 'id': 310}, {'name': 'Filmstiftung Nordrhein-Westfalen', 'id': 315}, {'name': 'France 3 Cinéma', 'id': 591}, {'name': 'Eurimages', 'id': 850}, {'name': 'Bavaria Film', 'id': 1704}, {'name': 'Canal+', 'id': 5358}, {'name': 'Studio Canal', 'id': 5870}, {'name': 'Arte France Cinéma', 'id': 6916}, {'name': 'Westdeutscher Rundfunk (WDR)', 'id': 7025}, {'name': 'Filmfonds Wien', 'id': 10273}, {'name': 'ORF Film/Fernseh-Abkommen', 'id': 11388}, {'name': 'Österreichisches Filminstitut', 'id': 11389}]",5/2/2005,117,36000000,Mystery,Les Films du Losange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,The Last Witch Hunter,90000000,en,13.412445,"[{'name': 'Summit Entertainment', 'id': 491}, {'name': 'Atmosphere Entertainment MM', 'id': 2995}, {'name': 'One Race Films', 'id': 7154}, {'name': 'Goldmann Pictures', 'id': 12006}, {'name': 'NeoReel', 'id': 24097}, {'name': 'Aperture Entertainment', 'id': 33832}, {'name': 'TIK Films', 'id': 72441}]",10/21/2015,106,146936910,Fantasy,Summit Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,ABCs of Death 2,0,en,8.254856,"[{'name': 'Magnet Releasing', 'id': 3595}, {'name': 'Drafthouse Films', 'id': 10485}, {'name': 'Timpson Films', 'id': 19324}]",10/2/2014,125,7171,Horror,Magnet Releasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Rush Hour 3,140000000,en,9.718111,"[{'name': 'New Line Cinema', 'id': 12}]",8/8/2007,91,258022233,Action,New Line Cinema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Safe,30000000,en,8.234382,"[{'name': 'Lawrence Bender Productions', 'id': 2253}, {'name': 'IM Global', 'id': 7437}, {'name': 'Automatik Entertainment', 'id': 7625}, {'name': 'Trigger Street Productions', 'id': 11801}, {'name': '87Eleven', 'id': 23008}]",4/16/2012,94,40346186,Action,Lawrence Bender Productions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,About Adam,0,en,2.100499,"[{'name': 'Bórd Scannán na hÉireann', 'id': 1898}, {'name': 'British Broadcasting Corporation (BBC)', 'id': 3324}, {'name': 'Venus Productions', 'id': 16836}]",1/28/2000,105,151559,Comedy,Bórd Scannán na hÉireann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Outbreak,50000000,en,13.676444,"[{'name': 'Kopelson Entertainment', 'id': 824}, {'name': 'Punch Productions', 'id': 2154}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Arnold Kopelson Productions', 'id': 16775}]",3/10/1995,127,189859560,Action,Kopelson Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Final: The Rapture,0,en,0.32926,,9/13/2013,90,92100,Thriller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Major Dundee,3800000,en,3.055936,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Jerry Bresler Productions', 'id': 11971}]",4/7/2065,123,14873,War,Columbia Pictures Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Cocaine Cowboys,0,en,2.941626,"[{'name': 'Rakontur', 'id': 6303}]",4/26/2006,118,163000,Action,Rakontur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Cool Hand Luke,3000000,en,9.718713,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Jalem Productions', 'id': 11496}]",6/22/2067,126,16217773,Crime,Warner Bros.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,The Next Best Thing,25000000,en,2.971999,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Lakeshore Entertainment', 'id': 126}]",3/3/2000,108,24362772,Comedy,Paramount Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,5 Flights Up,6000000,en,9.383088,"[{'name': 'Revelations Entertainment', 'id': 906}, {'name': 'Lascaux Films', 'id': 30997}, {'name': 'Latitude Productions', 'id': 30998}]",9/5/2014,92,1020921,Drama,Revelations Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,The Wedding Date,15000000,en,5.615303,"[{'name': '26 Films', 'id': 2157}, {'name': 'Gold Circle Films', 'id': 12026}, {'name': 'Visionview Production', 'id': 29018}]",2/4/2005,88,47175038,Comedy,26 Films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,The Double Hour,3906840,it,2.382068,"[{'name': 'Indigo Film', 'id': 1533}, {'name': 'Medusa Film', 'id': 6246}]",10/9/2009,95,4300000,Crime,Indigo Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Ice Age: The Meltdown,80000000,en,16.646029,"[{'name': 'Blue Sky Studios', 'id': 9383}, {'name': 'Twentieth Century Fox Animation', 'id': 11749}]",3/23/2006,91,660940780,Animation,Blue Sky Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,The Hateful Eight,44000000,en,20.328822,"[{'name': 'Double Feature Films', 'id': 215}, {'name': 'The Weinstein Company', 'id': 308}, {'name': 'FilmColony', 'id': 1811}]",12/25/2015,167,155760117,Crime,Double Feature Films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Wilson,0,en,8.984386,"[{'name': 'Ad Hominem Enterprises', 'id': 2361}]",3/24/2017,94,653951,Drama,Ad Hominem Enterprises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Star Trek: Generations,38000000,en,8.105708,"[{'name': 'Paramount Pictures', 'id': 4}]",11/17/1994,118,120000000,Science Fiction,Paramount Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Moscow, Belgium",560000,nl,1.572904,,1/30/2008,102,1500000,Romance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,The Great Race,12000000,en,4.473327,"[{'name': 'Warner Bros.', 'id': 6194}]",7/1/2065,160,25333333,Adventure,Warner Bros.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,The Last Flight of Noah's Ark,0,en,1.012665,"[{'name': 'Walt Disney Productions', 'id': 3166}]",6/24/1980,97,11000000,Adventure,Walt Disney Productions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
