,revenue
4918,45640143
4989,1378
3707,71441250
5134,4534
4531,123205624
481,9400000
1483,79799880
1899,355962
2856,24186232
5833,3500000
7196,1579260
2571,126150
117,253625427
3775,176104344
4496,35168966
4835,232380243
5898,207945075
4977,868439
6693,4134992
6418,29385320
2016,28341469
6978,69821334
5910,3119957
922,35348597
1010,140795793
3927,23311391
432,109130
5273,12000000
1566,11000
4189,29027914
6133,1400000
2681,1702394
1472,153698625
6329,4496912
1444,34710627
882,149217355
7397,11455
6912,55041367
6938,358375603
4042,9708373
5640,68673228
6842,1328001
2552,250200000
7971,4711220
4538,11000000
2277,292279
538,474171806
1662,36000000
2992,1213880
2707,17292381
8003,34505110
192,37915971
5926,34441873
7104,89325780
7959,1162422
6323,17307019
783,22697691
5123,13167232
1671,24769466
6599,43058898
7167,118587880
5590,7385434
1311,28350000
2914,29918745
1942,10018
631,1500000
7505,29506464
7346,260502115
7161,81071
1329,1942423
2273,21706101
1407,218613188
2647,694713380
3749,39438674
7996,185770160
5200,98017
7310,30749142
5260,13196245
6623,61698899
4007,5
7129,208475
6848,24000000
4397,50300000
7293,2000000
2166,60209334
7915,7200000
4231,174600318
7477,4507463
1296,33000337
7814,822
5870,119718203
4257,16262415
6425,3849941
1601,215529201
5815,18994653
7538,47434430
3733,939423
5820,5546827
1777,13308
7943,71000000
2921,2608000
6691,162944923
5088,5048693
2710,3100000
7914,256697520
623,137298489
6135,82392
2891,28128670
4278,22611954
1737,120620
2699,192816
373,10609321
7266,60052138
1425,391081192
7044,122563539
7853,22228000
3621,8159508
414,179379533
1276,40239
294,653428261
6622,7316658
3996,88097
4927,5935269
2479,56702901
7798,37608299
6818,7680000
6923,84375061
1363,10000000
1308,3646994
935,4215859
3324,11285588
5310,1051948
5224,586764305
7928,4214668
1230,193355800
1721,54744738
5724,82
7622,463406268
2980,2500000
1632,19010585
7873,4978922
2713,57059003
2262,19701164
7435,8000000
7965,3800000
3870,14144000
4013,2500000
845,136766062
3496,36850101
1931,50892160
6660,4500000
1476,11293663
2763,27053815
1116,38172500
3348,2849142
5961,472370
6195,78638987
636,36565280
829,11276
2264,216614388
5242,397850012
4158,8880705
4031,152266007
2309,26589000
2618,327803731
6435,9495408
4041,15306000
5991,441286195
1263,4627375
6832,10429707
2826,7412216
949,8475466
5036,119520023
2053,258464
5699,8974829
2218,7659918
3134,118880016
5302,60321861
3255,273137
4304,332710
2124,77068246
6461,9127383
7540,17808683
3268,43059790
4489,21148829
6199,181813770
7160,22030000
1847,209935
377,5080409
7726,2955039
3933,41675194
5297,47
4192,1200000
2036,355237933
976,39459427
5285,48398
184,237681299
4212,8620678
6276,212902372
4112,4424699
6123,178120010
3326,10443316
7257,292817841
886,306
7765,71079915
5353,258263
2487,2948386
2527,44349000
2432,580527
1064,199436
1453,80551
6700,240697856
1617,3537961
4600,38805380
7031,122444772
2600,23598
7705,358590
6569,223387299
1707,17432163
989,1675706
4976,300473716
4217,759393
7691,60864870
890,8125592
2229,5099316
988,134095253
4162,3283369
228,638641
5007,18928
2268,73276047
2587,41480851
5510,9200000
1763,2500000
3834,823258
7860,9747
1541,3
7162,20603715
1926,195312802
5578,6852450
2694,76657000
2688,2627209
865,9448082
2332,111996
7734,25792310
7368,2023414
15,198
2069,143000
7083,1034589
3750,388
6264,65470529
3442,360895
7097,42721196
2842,17297244
2130,78378744
2409,48814909
7268,125729635
5665,6344112
6031,104478416
5902,259
5942,565592
7694,48169908
7723,5471376
1174,4706919
4759,2238600
4203,11620000
2970,411006740
1192,64256513
4029,83305
6897,155010032
3932,0
1180,100659
4005,81967450
6203,6000000
7132,90029656
561,1600000
3522,5024782
58,119563
7096,430041
1217,330444045
1097,80000000
1861,714766572
7313,42400000
2068,4100000
441,1986615
774,3317662
121,448000000
5868,1260761
8008,64065
2540,3623330
5264,75981180
6317,133771
1067,51079064
4783,788680968
2922,12520799
263,14000
488,108782847
3841,5359645
2989,100202
4797,30177511
658,754249
6779,161
7872,183474602
7790,123276807
4726,0
6561,87713825
1371,1919197
5327,2331721
5418,2281089
6215,5519569
459,25405445
3411,57103895
2495,3200000
3780,84500000
6462,6670680
2963,44038000
7551,15116634
5351,133332
6551,219788712
739,158733820
5891,3721345
309,110230332
6930,20217080
1050,29762011
404,8143225
801,14016568
7386,855450
566,7900000
2299,264118201
3875,21510851
7863,304654182
1277,41232
6537,335154643
7234,19560274
2728,646714
4933,24941969
4307,33583175
7933,100477
7867,25205460
5230,140312928
2007,2610000
6828,100000000
4887,32168970
3852,197011982
5877,8946600
3790,1666511
4581,64414761
551,104399548
6648,5972942
2605,221295
6974,48063435
3921,139000000
1248,96889998
1455,3752426
2265,500000
1594,40855419
2654,60726164
5607,4900000
5447,5507396
4595,19300000
4987,1143856
6586,31430334
1745,78371200
6533,61000000
1868,630161890
1293,151161491
5583,14110013
2368,7865
7442,22482952
1703,3867000
6806,74237563
5937,1064454
6342,12729917
1953,31899000
868,108539911
1563,30471
476,6375979
5602,65090821
7791,6508
6841,400200
5342,274661
7072,81368
7588,50000000
7057,4366460
1614,40846082
5604,381420
237,1622164
1635,13273595
5483,19726050
4213,10827816
2164,101134059
2972,8685526
7229,90449929
7661,63408614
2025,25513752
2271,3764219
6597,1
71,16756372
682,46405336
775,7732325
5213,215294342
7406,6330054
5456,26768563
6654,1007583
755,6000000
1766,1486992
3745,29170410
5087,19450000
6994,5186646
3970,216763646
778,29252978
5582,5241315
4871,2403749
2143,15179302
7316,271375
3299,16724933
7345,8250000
7849,12000000
433,147845033
7591,43498108
4243,1428291
33,7171
493,37803872
735,58662452
5196,136000000
330,5588800
178,125212904
2140,4291965
1963,103173635
7998,5200000
1120,32222567
5282,664747
5262,45967935
5354,3970078
3190,38016380
5874,46749646
5288,2015882
6544,0
628,6174491
5281,9696204
1519,82703
1922,71000000
278,23020
6567,70100000
7543,3728888
6279,18962444
500,741766
2949,6000000
1044,38135878
3777,178104
5203,157645
211,470654000
133,211780824
951,20080020
2455,549368315
6332,114247
7758,44235023
920,2683519
5254,478207520
6128,48132
4294,715
3077,121545703
7029,1309316
3055,22939027
3934,2835116
7115,10166459
5875,953
3795,449702
5460,869325
591,234748
7338,24995
361,9700000
8015,69631118
7963,20246790
1374,12803305
4108,167000
1056,107559
6813,3727746
3029,5530764
5629,13960394
7373,102854431
1265,28208
3351,16942795
4311,29000000
4771,144056873
293,310724
5156,8461686
1094,194168700
4500,13411957
5233,623933331
7094,60655420
8018,24517
3451,16159325
7412,11800000
7099,14400000
2256,138000
6728,108348
4000,45610410
277,164000000
4999,1369280
3142,33616692
6503,36800000
6501,82391145
6146,17752940
4227,2494480
4152,16373843
3708,286214286
2703,10571408
6301,9205924
2429,19158074
7822,116806
5637,201634991
7215,5965
6449,23321954
219,3166000
7325,6700000
1625,73762516
5827,3900000
3994,72258126
5589,17423030
839,9797098
4114,3174695
1451,413454
738,37279439
114,871368364
4678,19853892
3858,89417
2711,51000000
2893,141000000
5947,858250
4970,27362712
7022,5750401
4510,31724284
4074,752100229
7514,956019788
5349,5914908
7962,12136938
3048,2074000
4890,7972967
5521,288
2329,4820000
3470,142044638
41,16217773
1436,1100000
7078,86865564
2943,28921264
3288,173567581
24,4947717
3516,36348784
7916,55675257
5621,49230280
5980,299792
5624,2341534
207,66000000
6325,30283
5378,330048
2350,38505009
7253,16441438
3652,19682924
2617,611899420
1743,20915465
6773,1429299
1037,35078241
1779,70906973
4915,128798265
1049,218340595
362,5249225
1219,1296184
2932,20000000
1470,1730000
4504,20173742
183,17555141
3399,20300385
875,50159144
2121,161025640
7634,17500000
2828,56000000
2160,17671101
2742,100914445
2351,333000000
7112,19576023
2035,550000000
2838,25442939
7492,17570324
4149,2000000
7594,852206
3318,4500000
1032,40266982
1314,6341855
6585,1030938
6100,67312826
3418,14431253
6906,15730665
880,1072602
130,9800000
7228,38413606
7649,50461371
135,300000
3060,1244381
7456,40343446
4770,60000000
6997,9128263
6445,96047633
4402,682330139
2345,13022756
2438,40084041
6949,463517383
3694,47231070
7894,25288872
7669,43545364
5195,6833445
7530,28000000
1305,25739015
4126,82394288
3067,56386
116,311
5605,29128433
7438,123306987
356,119269486
4040,33833201
3614,34252847
6640,8771757
2193,1461989
982,12118661
7502,0
7493,35007180
1674,77516304
2579,67192859
6176,3777141
4255,6330000
4640,5923000
7577,128038368
2537,4811525
6219,26800152
2743,55495563
2113,25000000
456,6000000
6134,25224242
223,352927224
6166,92380927
7570,144822
3776,52597999
6732,1500000
6824,14711793
5748,3
3481,23159305
994,65595485
1069,5596708
1551,1553826
7441,3191971
1769,7900000
5905,52223306
3711,118090836
7428,17801
7383,28200000
7654,24
6313,32482682
1469,1317657
7736,221805
2010,8153677
7525,16971
7621,18612
7427,187884007
169,24600832
3457,60474340
6957,508084
721,62852
4445,321455689
1255,39598448
910,2340
7655,4000000
578,12434778
1002,21284514
6560,54915
6500,23000000
5726,138530565
23,17011
148,147214049
2915,351692268
2547,585349010
7636,1
4315,1681521
1964,7406
149,432274
2548,39768000
1151,709709780
7251,1218730
6601,82150183
1224,142337240
5287,3992809
5893,122426792
2022,46221189
3917,24164400
1598,373062864
5620,85512300
533,126248813
615,1107542
1139,444098
5423,2186782
4802,29844753
705,36764313
6790,56309766
5574,5164404
6645,2479538
2683,57469467
4527,69834815
2584,47000000
3329,82701
6655,286168572
2354,31179516
710,9504139
2189,3200000
7487,88036683
7237,98690254
2696,27400000
7558,571006128
5697,15543000
2909,48902953
1997,44332015
2018,773328629
4735,147298761
3410,529766
1952,14836
5615,481840909
6862,10686841
6029,16894678
5337,542307423
1534,140987
7002,99423521
3892,42426912
5768,60462347
6552,4922166
7845,54700105
7098,24441725
6783,8307227
305,193772504
7330,4654288
5293,31000000
3752,343397247
3403,1864266
3754,2451545
2887,36642838
5770,5050000
120,347325802
6396,55060212
1054,14899417
6429,210308099
4756,23737523
5234,48143579
7836,378882411
5221,55969000
6540,71992655
6723,112544580
4525,119285432
2233,55583804
2231,3533227
5346,604856
2196,773228
1225,223003
2550,31911598
1316,21930418
3862,610986
7786,70958
4794,45636368
609,273644
6424,77200000
5464,27843
6602,26394
106,15134293
5883,349464664
2369,154937680
5471,38
1183,8303261
1027,6472990
2327,73326666
3116,714544
6397,1941667
1493,13818181
2416,6341684
1666,5887457
2775,539896
3600,14460000
789,95311434
5948,610792
3395,178043761
7794,21819348
6294,794861794
4694,117932401
6312,18000000
5630,17772506
6869,14793385
3623,16872671
5715,1775316
5219,592461732
477,4267218
5718,8969065
5608,28000000
5632,248118121
817,22000000
1188,34664
2905,589304
1342,1113277
3528,4388563
6770,1325092
2263,7965
7204,634151679
2807,22175908
1554,10676194
7665,299965036
4562,4300000
1167,30658387
5920,557241
1906,200406
650,135000000
321,183018522
6047,690860472
1705,7218340
2671,14202899
1418,26279000
5368,59600000
5835,5900000
2519,1500000
6522,15473333
7693,149281606
4034,41325328
6211,25975621
5005,28008462
1923,6000000
7720,342519
4789,1402307
6237,50282766
2690,69055695
6158,1702433
4201,41009669
6459,126247
300,48572000
3725,17883410
6668,300000
4576,18016290
1477,226497209
4749,13785015
1087,72778712
19,85167639
4772,32645546
2890,83080890
781,1646788
1870,10400000
956,1301696
684,1262886337
7448,125427681
4190,776691
7135,35841901
1159,147332697
7055,2960993
3837,368234
2981,93000
7016,8000000
7468,14000000
1003,1841260
4449,2000000
1569,239606210
7975,20768906
5265,4596705
25,8403433
43,1020921
6838,2550508
4261,10600000
35,40346186
2387,886686817
7248,65079104
5363,269144
5915,8038061
639,8
3810,752600867
2765,11990401
4809,3142763
7256,7002261
7045,19791
3620,33750478
4448,1784763
1958,389503
3302,66980456
2869,54837234
678,1296937
4644,76249438
3129,18553948
4360,75505973
827,150000000
7756,3180674
3028,2816116
4442,15876353
1596,26488734
7846,102338515
4804,159157447
555,600000
722,7399763
6718,5778353
3415,151203
4164,24000000
2240,572809
4973,84552250
6646,3982459
6929,259012
5494,6748712
7236,104155843
2859,25034000
304,6193901
6131,61399552
5452,10680275
3270,173185859
6499,39723096
6858,24121245
2754,20381995
6966,42273609
7574,7022728
7604,3909002
3000,42538454
6389,86572238
506,6673422
7651,3826459
2328,30353232
647,2500000
1846,530048
7209,14822346
7513,44793222
7656,704000
848,18000000
1190,7
6489,1198346
1148,129042871
5760,212874864
854,2411594
7843,47494916
462,171120329
5617,3
1332,836297228
1348,14717854
2823,852336
3357,1339650
4216,6000000
5997,3600000
1798,34725000
7877,15345201
7898,0
5488,7356393
5489,2011837
5267,47351251
7138,43884652
747,11122090
1335,31000
7063,74787599
4737,11782282
2057,239894
7575,1193062
5825,7467504
2358,370668
7906,95020213
980,91188905
5762,4250000
5821,140000000
2101,1332231
4898,1171559
6023,80383290
4157,29193330
453,12534961
2734,97552050
5619,43763247
6337,1016985
2906,227799884
5588,1790061
6232,15431177
4301,26673242
1921,86362372
2492,2861020
768,2262223
3419,42039085
1714,2091037
5311,469160692
1898,6488144
4295,23430766
3149,134241
4587,127869379
6989,2484095
5532,68688831
3747,10005969
2199,33889159
4168,2209023
6442,17112713
6280,15304890
7469,24911670
1609,1929168
6376,137551594
5688,3000000
3816,36782781
1366,593683
7390,955401
5529,22187813
189,16337881
7426,12534817
5798,31987563
6991,402352579
3139,20967660
5943,14334401
4563,1432687
6581,10389003
6447,369884651
6258,33333531
6692,259207227
3058,14348529
2071,15704614
2675,1862805
7249,1600000
5789,293329073
5226,14400000
860,14782676
5614,16318124
7122,11837022
4718,3558669
6854,92601050
7581,1943649
7060,99067206
744,78868508
6847,1221832
4322,88323487
1491,22159216
6054,32589624
7491,102205175
1987,13200241
1892,40105542
2423,500000
681,11000000
7447,19924033
1479,125
6611,1243980
7908,160112671
144,11000000
4669,5093707
3154,20085825
6788,873634919
2836,3878993
7917,12000000
746,249905
1665,235860116
1888,11000000
5355,115922175
4250,27100027
7423,334615000
2709,165333180
1482,62022014
7584,131016624
3626,1738611
5836,106956330
1547,182290266
442,832735
6441,17689177
6807,15938065
2044,371940071
2255,100
4795,40442437
3439,16000000
4396,8179416
3133,215663859
3624,300000
5843,4100000
4340,10165694
5824,281929795
5033,111231041
5517,13368437
642,288752301
5063,3200000
6306,307811
7531,7205073
3962,128107642
754,10409377
5832,340487652
5506,150962475
1855,24377151
5720,22518097
383,68929150
5205,155446362
2790,145896422
3290,304852
1759,276572938
779,55447968
4416,1499795
5191,2570145
7987,458557
6086,5549200
5512,19870567
5338,51801187
2361,12000000
7095,4300000
7714,82515113
2153,519204
2477,19131000
7657,219103655
5950,159414369
2062,288500217
7571,7434726
5082,12000000
3352,40400
4177,4166918
6120,5271666
2486,93945766
2684,4300000
4766,45479110
6409,104384188
5249,3283371
4586,30036000
5804,322975
7924,7305209
1401,212000000
2319,3566225
1443,10755447
5340,17233166
2701,6892098
7309,1957000
4240,47386287
4121,2351359
2390,10000000
2435,3956913
4883,117758500
429,109676311
3074,44547681
1367,7000000
3047,206272
3150,2375097
4260,0
158,19412993
351,116019547
6985,201607
251,10017322
4237,336529144
6321,203388341
5161,5830454
7090,3076820
3964,187134117
5957,396600000
5341,179213434
6421,28814580
52,11000000
4300,85412898
3033,37823676
7774,73121
986,19738015
5912,128769345
7780,177243185
6484,15600000
4125,69474661
822,170128460
2658,25147055
2306,41162041
5659,46442528
6033,2420917
3529,14375181
6863,3946880
4967,7000000
5995,71215869
1075,1984662
4888,84618541
1698,120081841
2857,6500000
4148,3759582
389,195745823
3700,108332743
5332,33662874
1939,22812411
4014,14659448
2556,148426
4117,775398007
1235,7644937
4495,2957978
786,70067909
950,8251071
3220,10012022
6521,38348988
7422,286801374
7953,1132112
716,17953778
846,7227038
4175,37895
2931,36754634
1014,957240
7137,449707
5721,9879971
7429,216972543
2665,71624879
2331,35057696
2848,67347013
5270,14225876
5556,17322136
203,527068851
167,144216468
7815,1238764765
168,41833347
313,6297
4615,57400547
760,24793509
4015,7411659
6684,67738090
4728,12035862
2457,587615
2146,181107
6903,1675381
1884,23
308,21800302
3305,256249
4610,79082515
4724,382879
6651,86387857
3095,30911
7359,119418501
4206,39103425
6575,53653224
6934,328203506
6413,90450008
5309,3800000
3701,18875011
1677,24902723
1040,5446000
1337,2600000
4303,6521083
235,27297451
2212,32204030
1946,4069826
883,77278331
6553,86157237
6548,34416893
7808,1000000
2301,1110566
4183,12974636
7460,49718611
6520,219375562
855,887029
3873,4094339
2120,60000000
1098,112343513
575,20710451
2381,494506
7533,358994850
5513,7000000
3006,2611555
2288,6101904
1599,696681
7194,78096553
1100,3370574
525,25345000
1220,20566327
5157,6413915
6021,68377859
4019,19075720
1628,41158757
4366,9612469
2634,3554460
2377,92991835
335,38307627
3111,27206120
7972,29950000
66,204940
4233,7182
188,521311860
6618,4000000
275,602042
1575,11582891
4199,9112193
2599,250649836
7608,22136
6879,2365467
5570,214015089
4811,10719357
1112,60845711
4437,30238577
3472,30331165
7682,43967255
6793,15240435
7573,164170327
7644,1314230
1442,443684
90,180949000
1962,42647449
711,4385312
48,653951
5652,1400000
4703,46118097
5646,643557
6571,103
2192,156844753
715,24188922
6229,1345236
7503,21750000
5465,68129518
5215,33300000
2933,74608570
4277,109578115
3402,4000000
2258,113493481
947,124693
2977,29700000
6795,12506188
7049,4790751
1762,119500000
1480,5000000
1058,1108462
2206,18253415
2338,100853753
3221,5735963
87,32392047
285,1614266
5940,70611210
870,6101046
1141,11
2877,51973029
2269,287553595
4684,48000
6962,24829644
4052,119188334
4750,63848322
7981,25965144
1466,224803475
3209,98267558
7254,13500000
3572,122650962
5154,19740070
6826,240031094
7744,551760
7335,710644566
6266,74208267
6706,11000000
17,1234254
3739,28570902
5816,11718595
5878,205068
7777,870751
7362,163720069
785,764083
4518,3500000
164,62771059
7354,22852638
2340,29359216
1849,18000000
1831,9816332
4699,86468162
6555,8089290
4568,684351
1757,639000
7245,519311965
6563,3412497
958,142851197
7052,30626182
6186,27007143
6596,153962963
7008,309973
5694,31083599
5986,107944236
281,66486080
4782,137783840
1577,16000000
1118,107879496
6072,37151
4030,415686217
5320,123572
7275,2556911
5405,361366633
5400,3468572
5573,4500000
1738,46434570
220,10652498
2009,340312
6224,1148752
7818,2084628
6663,42313354
4647,182057016
1340,68349884
7180,8801940
1082,985007
638,1400000
4932,21353303
4043,229094
7966,2035470
4874,6467348
3860,14946150
2424,73648228
2677,19516000
2705,5410749
6334,206071502
5277,8946237
2091,22044277
5414,40100000
3049,3123963
1169,87404651
1818,649398328
1364,19300483
2597,16757163
1423,30551495
1875,68514844
3296,678604
186,3833507
5274,747862775
5666,21095683
3748,6134438
4682,7532911
2168,2500431
1588,23083334
3741,27305571
7121,38702310
6853,23562716
239,57588485
3444,20377075
2112,24760338
6721,245676146
4259,4453524
2411,223664608
1079,6860853
652,49501
2145,22433275
4363,40697761
7602,33946224
241,18662027
2510,532269
3367,2465960
7271,192400
1770,7025496
1339,4588176
6959,78396
3445,98126565
4717,389925971
6438,302000
6915,85280250
1402,11472454
6159,8786375
670,3100000
7993,22472631
6565,15946321
297,56489558
1052,10541523
7414,14000
2014,392000694
2239,91000000
406,14110589
5867,34994648
61,14400000
302,2945242
4796,136706683
7146,635162
2746,49627779
4502,7690013
2606,176885658
6153,64626786
3187,8200000
3103,33400000
7770,44617342
5763,15608545
2504,3960327
4513,8810591
5503,161777836
1243,716392705
4512,30400
4860,171844840
6814,27728118
7286,165888
3293,193921372
2311,63833449
4873,30867525
3782,2367161
520,18195610
115,41604473
1734,244527583
4991,43995918
5192,156021
7888,13936
2560,12065892
339,2200000
3291,864659
6486,236049757
2102,157100845
7776,89800000
1090,36869414
6507,33736689
5594,238227
2692,40903593
6799,22889018
1421,43471
1951,2628241
4256,145000000
7046,698200
1760,596000
2313,114956699
1765,14631377
3473,7500000
1586,232324128
